date,TLT,XLP,IWM,XLY,RINF,PDBC,VXUS,VTI,SMH,XSW,IGV,IEF,HYG,LQD,KRE,USO,GLD,XAR,SPY
2024-03-07,86.4369125366211,70.83677673339844,201.44073486328125,88.61911010742188,29.178508758544922,12.367916107177734,56.05949020385742,247.9805908203125,232.41351318359375,152.39678955078125,85.39398956298828,86.8801498413086,67.14482116699219,97.68975067138672,46.307430267333984,74.2300033569336,199.94000244140625,140.1357421875,499.7346496582031
2024-03-08,86.28368377685547,70.27576446533203,201.31417846679688,88.29104614257812,29.26898193359375,12.331079483032227,55.90126419067383,246.54644775390625,223.30238342285156,153.265380859375,84.91407775878906,86.94405364990234,67.16217041015625,97.8243637084961,46.34483337402344,73.36000061035156,201.6300048828125,139.25662231445312,496.7351379394531
2024-03-11,86.23859405517578,70.65911102294922,199.7179412841797,88.05111694335938,29.214698791503906,12.432379722595215,55.71511459350586,246.149169921875,219.3224334716797,152.67633056640625,85.14404296875,86.83448028564453,67.15351104736328,97.84228515625,46.11109161376953,73.62000274658203,202.0,137.40948486328125,496.3079833984375
2024-03-12,85.51753997802734,71.02377319335938,199.44537353515625,88.8100814819336,29.404699325561523,12.395543098449707,56.17118835449219,248.58135986328125,226.26002502441406,153.89439392089844,87.01368713378906,86.47842407226562,67.2142333984375,97.52825164794922,45.65297317504883,73.3499984741211,199.7899932861328,136.9353790283203,501.64691162109375
2024-03-13,85.10294342041016,71.20142364501953,200.2240753173828,88.62403106689453,29.37755584716797,12.552099227905273,56.08741760253906,248.27125549316406,221.78384399414062,154.3436737060547,86.38380432128906,86.28669738769531,67.24026489257812,97.42953491210938,45.69972229003906,75.08999633789062,201.19000244140625,137.11314392089844,500.86065673828125
2024-03-14,83.7960205078125,70.64977264404297,196.6421661376953,88.06090545654297,29.422794342041016,12.607353210449219,55.73373794555664,247.3119659423828,217.81385803222656,151.7977294921875,85.95388793945312,85.6476058959961,66.9192123413086,96.71171569824219,44.512351989746094,76.30000305175781,200.35000610351562,135.75003051757812,499.87054443359375
2024-03-15,83.76898193359375,70.62171936035156,197.0120849609375,87.18441009521484,29.458984375,12.671818733215332,55.67206573486328,245.84873962402344,216.20599365234375,150.99900817871094,83.5443344116211,85.50151824951172,66.8758316040039,96.73860168457031,44.7460823059082,76.33000183105469,199.7100067138672,135.91796875,496.4380798339844
2024-03-18,83.51660919189453,71.0757064819336,195.88299560546875,87.85033416748047,29.47707748413086,12.782328605651855,55.6814079284668,247.09877014160156,216.6427001953125,151.85763549804688,84.4941635131836,85.40110778808594,67.03202819824219,96.57711791992188,44.462425231933594,77.9800033569336,200.02999877929688,134.8163299560547,499.3885192871094
2024-03-19,83.75096130371094,71.33943939208984,196.71034240722656,88.6109619140625,29.3866024017334,12.791537284851074,55.700096130371094,248.52322387695312,216.1663055419922,152.56649780273438,85.1140365600586,85.6476058959961,67.30101776123047,96.85526275634766,44.61321258544922,78.43000030517578,199.8000030517578,135.33056640625,502.16375732421875
2024-03-20,83.72392272949219,71.55608367919922,200.60365295410156,89.93101501464844,29.547409057617188,12.736282348632812,56.29801940917969,251.04270935058594,219.630126953125,154.92274475097656,85.93388366699219,85.84847259521484,67.52662658691406,97.03470611572266,46.007965087890625,77.25,202.17999267578125,137.48634338378906,506.8083190917969
2024-03-21,83.9041976928711,71.59376525878906,202.9085235595703,90.45610046386719,29.666183471679688,12.717864990234375,56.30736541748047,252.0795135498047,224.6124725341797,155.27218627929688,86.54376983642578,85.8575668334961,67.49192810058594,97.17829132080078,46.68648910522461,76.81999969482422,201.97000122070312,138.18846130371094,508.4831848144531
2024-03-22,84.70634460449219,71.2452621459961,200.1079864501953,89.66603088378906,29.583951950073242,12.634982109069824,56.09247970581055,251.37060546875,225.93247985839844,153.3852081298828,85.973876953125,86.27755737304688,67.42247009277344,97.51029205322266,45.67811965942383,76.68000030517578,200.35000610351562,137.0907745361328,507.51922607421875
2024-03-25,84.28275299072266,71.04745483398438,200.5665740966797,89.37159729003906,29.50172233581543,12.745491981506348,56.04576873779297,250.80662536621094,225.37669372558594,153.43511962890625,85.67394256591797,86.04933166503906,67.31836700439453,97.17829132080078,45.74409103393555,77.76000213623047,200.99000549316406,137.18968200683594,506.1170349121094
2024-03-26,84.51708221435547,71.08512115478516,200.20553588867188,89.48446655273438,29.4469051361084,12.644190788269043,56.04576873779297,250.35926818847656,223.2825164794922,153.3153076171875,85.83390808105469,86.17713165283203,67.24026489257812,97.1513900756836,45.46136474609375,77.29000091552734,201.63999938964844,136.99191284179688,505.1822509765625
2024-03-27,85.35530090332031,71.8292465209961,204.56735229492188,90.5198974609375,29.410358428955078,12.653400421142578,56.35407638549805,252.56671142578125,223.203125,154.75302124023438,85.37399291992188,86.50581359863281,67.5960464477539,97.8243637084961,47.13884735107422,77.51000213623047,203.10000610351562,138.7026824951172,509.4277648925781
2024-03-28,85.283203125,71.92342376708984,205.21144104003906,90.24018096923828,29.55653953552246,12.77311897277832,56.335391998291016,252.7320098876953,223.30238342285156,155.74143981933594,85.25401306152344,86.42365264892578,67.44852447509766,97.73462677001953,47.38386154174805,78.7300033569336,205.72000122070312,138.9499053955078,509.33038330078125
2024-04-01,83.69344329833984,71.34886169433594,203.27932739257812,89.5678939819336,29.666183471679688,12.86521053314209,56.23262405395508,252.5375213623047,226.23025512695312,153.2953338623047,85.00405883789062,85.64165496826172,67.17379760742188,96.79878234863281,46.45089340209961,79.66999816894531,207.82000732421875,137.54566955566406,508.4442138671875
2024-04-02,83.23223114013672,70.98152923583984,199.5419921875,88.2478256225586,29.87632179260254,12.994138717651367,55.999053955078125,250.20372009277344,223.3222198486328,150.77935791015625,84.10423278808594,85.4585189819336,67.0604248046875,96.6546859741211,45.59330749511719,80.79000091552734,210.88999938964844,135.48876953125,505.21148681640625
