ticker,cash,totalDebt,netCash,currentRatio,quickRatio,debtToEquity,freeCashFlow,sharesOutCurrent,sharesOut1Y,sharesOut3Y,shareCountGrowth1Y,shareCountGrowth3Y,stockBasedComp,revenue,sbcToRevenue,balanceSheetRiskScore,dilutionRiskScore
ACHR,1964700032.0,121900000.0,1842800032.0,19.886,18.883,5.534,-376437504.0,759598009.0,503777464.0,241638935.0,0.5078046623379723,2.143524900074568,223500000.0,300000.0,745.0,72.0,90.0
ACLS,374252992.0,71801000.0,302451992.0,4.772,2.746,6.939,71145376.0,30729970.0,32365000.0,32775000.0,-0.05051846130078789,-0.06239603356216628,20773000.0,839048000.0,0.02475782076829931,85.0,10.0
ACN,9405595648.0,8347366912.0,1058228736.0,1.336,1.2,25.469,12164313088.0,613939268.0,625280287.0,631167579.0,-0.018137496472841786,-0.027295937835235356,2093878000.0,69672977000.0,0.03005294290783642,74.0,18.3
ADBE,6898999808.0,6670000128.0,228999680.0,0.912,0.789,58.34,9321374720.0,404200000.0,441000000.0,462000000.0,-0.08344671201814059,-0.1251082251082251,1942000000.0,23769000000.0,0.08170305860574698,63.0,26.7
ADCT,231008000.0,421355008.0,-190347008.0,4.093,3.875,,,127191158.0,98861402.0,80642527.0,0.28656033018831756,0.5772218794681372,6905000.0,81357000.0,0.08487284437725089,80.0,83.3
ADI,4048847104.0,8701080576.0,-4652233472.0,1.756,1.249,25.753,4139530752.0,488204157.0,496296854.0,509295941.0,-0.016306162198642508,-0.04141361103052655,321560000.0,11019707000.0,0.029180449171652204,66.0,10.0
ADM,1047000000.0,9758000128.0,-8711000128.0,1.365,0.287,42.376,2147749888.0,481895100.0,478000000.0,547000000.0,0.008148744769874478,-0.11902175502742231,83000000.0,80269000000.0,0.0010340230973352104,52.0,8.3
ADP,3228400128.0,4398000128.0,-1169600000.0,1.043,0.131,69.259,4749387264.0,399734282.0,408100000.0,416100000.0,-0.020499186473903454,-0.039331213650564766,266100000.0,20560900000.0,0.012942040474881936,52.0,10.0
ADPT,226980000.0,210356000.0,16624000.0,3.339,3.101,93.491,950875.0,159760669.0,147773744.0,143105002.0,0.08111674425735603,0.11638773465095231,51483000.0,276976000.0,0.18587531049621628,85.0,81.7
ADSK,2596999936.0,2734000128.0,-137000192.0,0.851,0.695,89.787,2787000064.0,211000000.0,214000000.0,215000000.0,-0.014018691588785047,-0.018604651162790697,788000000.0,7206000000.0,0.10935331668054399,45.0,33.3
ADYEY,10827529216.0,252366000.0,10575163216.0,1.722,1.711,4.775,534254016.0,3153669200.0,31485187.0,30986299.0,99.16358486293888,100.7762463339039,40606000.0,2646897000.0,0.01534098228982843,82.0,66.7
AEHR,36911000.0,10025000.0,26886000.0,10.97,5.79,7.223,-7451625.0,31453254.0,28995000.0,27120000.0,0.08478199689601655,0.15978075221238938,5162000.0,58968000.0,0.08753900420567087,72.0,83.3
AEIS,791400000.0,679000000.0,112400000.0,1.588,1.127,49.824,119962496.0,38030657.0,37711000.0,37429000.0,0.0084764922701599,0.016074621282962408,55700000.0,1798800000.0,0.030965087836335333,78.0,25.0
AES,1556000000.0,30943000576.0,-29387000576.0,0.766,0.39,259.393,-3086125056.0,713071623.0,711074269.0,668743464.0,0.0028089245906885714,0.06628574541103852,,12233000000.0,,32.0,25.0
AEVA,121899000.0,102394000.0,19505000.0,4.28,3.751,774.832,-76099128.0,63026459.0,54139560.0,43749600.0,0.16414797238839768,0.4406179485069578,21843000.0,18079000.0,1.208197356048454,72.0,90.0
AEYE,5288000.0,13200000.0,-7912000.0,0.876,0.822,274.771,5776625.0,12437547.0,12285000.0,11551000.0,0.012417338217338217,0.07675067093758116,5024000.0,40311000.0,0.12463099402148296,51.0,53.3
AFK,,,,,,,,,,,,,,,,,
AGFY,,,,,,,,,,,,,,,,,
AGG,,,,,,,,572600000.0,,,,,,,,,
AGX,894980992.0,6387000.0,888593992.0,1.592,1.558,1.382,340947136.0,13960465.0,13634214.0,13441590.0,0.023928845476534254,0.038602204054728646,7867000.0,944606000.0,0.008328340069828055,88.0,25.0
